"iab_relevance","paper_count"
"Low dietary diversity can have negative effects on mass-reared insects in regards to their survival to adulthood, time to eclosion, and their resting metabolic rate. In conjunction with higher temperatures, changes to metabolic rate can be compounded.","1"
"There are still concerns over anti-nutritive properties, toxins, heavy metals and possible allergens when using insects as human feed. More research needs to be done in these areas to help guide regulations","1"
"The biggest take away from this study was that the shrimp survival rates increased from 40% to a range of 60-80%. This can be a major impact on shrimp farming economics.","1"
"For insect agriculture producers relying on pollination services, this research provides valuable insights into enhancing pollinator health. The study explores how nectar metabolites can prevent or reduce parasite infections in pollinators. Understanding the interactions between nectar compounds, parasites, and the host or microbiome can inform agricultural practices aimed at supporting healthier pollinator populations. Farmers cultivating crops dependent on pollinators should consider strategies that encourage the presence of antimicrobial nectar metabolites to benefit overall pollinator health and, consequently, crop pollination.","1"
"May want to consider enrichment studies using different components of the BSF larvae and extend to other species of interest to the IAB. May also want to consider using a species of catfish to test these fractions at Mississippi State due to the aquaculture facilities tank study/pond study.","1"
"Insect behavior is complex. Environmental stimuli can result in the coordination of many organs and the differential activation of thousands of genes. For example, the reflection of light against a wing can induce chasing, foreleg tapping, and mounting. The same is true for many other biological responses. Low blood sugar encourages humans to seek out food, results in increased irritability, and promotes the breakdown of body fat and glycogen reserves. Ultimately, though, many of these pathways are beholden to one or a few master regulators (I.e., insulin in human sugar response). This paper discusses the effects of dopamine (DA) and serotonin (5-HT) on black widow spiders. Though black widows aren’t insects, there is precedence for those two hormones modulating aggression in insect species like flies, crickets, and ants. There is also precedence for the manipulation of these hormones in insect farming. Domesticated silkworms have been selected for decreased foraging and climbing behavior since at least 3000 BCE. Research has shown that these individuals have significantly lower dopamine than their wild counterparts. This is probably due to changes in a gene (Met1) that regulates Tyrosine hydroxylase, which in turn affects dopamine. Rather than wait 6000 years for crickets to adapt, like the ancient silkworm industry, it may be possible to directly manipulate dopamine signaling to reduce escape behavior and aggression.","1"
"The fruit fly, Drosophila melanogaster, has been at the forefront of advancements in genetics research since the early 1900s. As a consequence, there is a lot of data publicly available as far as functional genetics. Much of the ongoing work in CEIF’s genetic data library starts from Flybase, where the function of fruit fly genes are well mapped, and that data is compared to other commercial insects. Of the big three, Black soldier flies are most closely related to the fruit fly with a divergence time (in very broad terms) of 200 million years. Beetles are closer to 240 million years and crickets are 300. To put things into perspective, humans and mice are only maybe 80 million years apart. For these reasons, it can be hard to directly compare the function of homologs (related genes between species). This paper shows that beetles, which mealworms are a part of, have a very different set of developmental genes. It emphasizes the importance of expanding our limited set of model organisms.","1"
"MW diet was not a very good diet for the catfish as it could compromise the growth, health and feed utilization. BSF meal however was seen as a good alternative to fishmeal diets for the catfish. In a future study, a smaller inclusion % could be tested for the MW to limit negative health/growth impacts on the fish.","1"
"Understanding the broader impact of probiotics on neurological parameters can provide insights into enhancing the health and behavior of insects reared for various purposes, including improving stress tolerance or enhancing desired behaviors.","1"
"Rapidly evolving genes make up ~30% of the drosophila genome. It could prove incredibly beneficial to the industry of insects as food and feed to understand how similar rapidly evolving genes are influencing population level genetic changes in domesticated insect species.","1"
"Field temperature studies may not match lab studies, so rearing temperatures need to be tested before preparing mass rearing protocols. ","1"
"The study highlights the significant role of microbiota in black soldier fly larval growth and development. This information can be used to optimize zootechnical properties in alternative animal protein production, biowaste revalorization, and recycling. By understanding the host-microbiota interactions, insect rearers can improve the quality and quantity of insect protein production and promote sustainable waste management practices.","1"
"Quantitative PCR (qPCR) is one of the most common ways researchers measure gene expression, which tells them how an organism responds to their environment. Good reference genes for qPCR are genes that are produced at the same levels at different times and conditions. A good reference gene in mealworm, may not be as stabile in the black soldier fly, for example, so they must be experimentally determined in each species. Once identified, though, qPCR can offer clues about specific genes or pathways that are turned on in response to changes in their environment, like different feeding substrates or temperature extremes. This information can reveal targets for breeding programs or genetic modification.","1"
"This research investigating microbially produced small molecules in mosquitoes holds considerable promise for insect producers engaged in disease control and bioresource development. The identification of novel siderophores and their impact on reducing fecundity in female Anopheles gambiae, potentially by lowering their blood-feeding rate, presents a significant breakthrough. Moreover, the compounds' ability to inhibit the Plasmodium parasite's stages in vitro underscores their potential in developing innovative approaches for controlling infectious diseases transmitted by mosquitoes. This study not only offers a valuable bioinformatic resource for future mosquito-microbiome studies but also highlights the prospect of leveraging understudied microbially derived molecules as effective tools in combatting mosquito-borne infections, offering potential insights for insect producers engaged in biocontrol strategies.","1"
"For insect growers, this research holds significant implications as it highlights the critical role of gut microbiota in bolstering immune responses and preventing disease. The utilization of probiotics, established as a valuable alternative to antibiotics in vertebrates, gains attention in the context of invertebrates where their use remains limited. By manipulating the gut microbiome of the African Armyworm, the study underscores the potential of microbiome manipulation in enhancing resistance against viral infections. Moreover, the identified bacterial associations and their impact on survival offer valuable insights for optimizing pest management strategies, particularly in the realm of biopesticides. Understanding the intricate balance between gut microbiota and pathogens could hold the key to more effective and sustainable approaches in insect rearing and pest control.","1"
"Further research can be done on the plasticity of critical thermal maxima through changing the time and extremity of the temperature exposure. This can also be explored with other insect larvae to determine the plasticity in different species.","1"
"Many insect behaviors, like feeding preference and oviposition (laying eggs) are guided by odors. Chemicals called VOCs (volatile organic compounds) are released from decaying organic material and they are detected by chemoreception proteins. In order to understand complex behaviors, like feed choice or reproduction, it is important to understand how chemoreceptor proteins work. An important first step is studying the genes that make chemoreceptors and identifying which VOCs are produced by a given substrate. We can exploit knowledge of which compounds attract or repulse commercial insects, and how these signals are generated, to drive their behavior towards productive activities. For example, by increasing their interest in a particular waste stream or optimizing oviposition timing and placement.","1"
"Beekeepers and producers involved in apiculture and pollination services can benefit from this research. The study emphasizes unexpected differences in the gut microbiomes of closely related bee species. Understanding the variations in microbial communities within bee species with similar characteristics can guide strategies for hive management, disease prevention, and overall bee health.","1"
"The concept of compartmentalization is highly relevant to insect growers who often rely on symbiotic relationships with microorganisms to improve insect performance and production. Understanding how hosts control and mediate interactions with symbionts can help insect growers develop strategies to enhance the benefits obtained from symbiotic partners. The article's discussion of compartmentalization in insects and nutrient provisioning bacteria, such as those involved in termite gut symbiosis, is particularly relevant to insect growers as these relationships are essential for insect nutrition and growth. The article highlights that compartmentalization allows hosts to reward cooperative symbionts and control non-cooperative ones, which can aid insect growers in optimizing the microbial communities associated with insect rearing. Additionally, understanding the factors that influence the evolution of compartmentalization can help insect growers predict the likelihood of this mechanism evolving in new symbiotic relationships and plan accordingly.","1"
"Repeating elements in DNA, also known as repetitive elements, are sequences repeated many times in the genome. Originally, much of this repetitive DNA was labeled as junk DNA, which reflected the belief that these sequences were evolutionary leftovers that had no active role in the biology of an organism. Now scientists understand that repeating elements have many roles such as the regulation of gene expression, the rate of evolution, and maintaining the structure and integrity of chromosomes. Consider the mealworm, which contains a single repeating structure that accounts for about half of its total genome length. The black soldier fly is currently reported to have as much as 67% repeating elements, literally off the charts in some studies. These sequences' repetitive nature makes them particularly challenging to capture, and public data is increasingly scarce the more distance a species is from model organisms. So, it is up to researchers in insect agriculture to generate this information themselves.","1"
"We need to fully understand these possible allergenic properties of these insects, not just black soldier flies, especially when we are marketing them for human consuption. More research should be looking into other insect species for these possible allergens","1"
"Mealworm frass can be an affective replacement or inlcusion to standard fertilizers. Was able to increase biomass of barley.","1"
"Understanding the role of Juvenile hormone in the body is important when considering strategies to increase reproductive output in farmed insects.","1"
"This study's investigation into the gut microbiome of Drosophila under dietary pepper treatments provides valuable insights for insect producers concerned with bioresource development and host-microbiome interactions. The research underscores the significant influence of dietary phytochemicals from peppers on the gut microbiome, affecting microbial composition and abundance, particularly of Lactobacillaceae and Acetobacteraceae. Understanding how specific compounds within peppers, such as β-carotene, β-cryptoxanthin, myricetin, quercetin, and apigenin, correlate with microbial enhancement offers potential implications for manipulating microbiomes in beneficial ways for insect health and biocontrol. This study's emphasis on the interplay between dietary factors, microbial communities, and genetic backgrounds in shaping the gut microbiome presents valuable implications for insect producers aiming to optimize insect health and biocontrol strategies through dietary interventions and microbial modulation.","1"
"For a long time, biologists believed that evolution traits were mediated by genetics, which was a one-way flow from DNA (the manual) to RNA (the instructions) to proteins (the resulting product). This concept is called the central dogma. Recently, we have come to understand that organisms require a complex web of information exchange between each step. Proteins can be modified after they are made or bind to pieces of DNA to block a gene. Chemical groups can be added directly to DNA, or the histone proteins that organize DNA, to affect how much genes are expressed. Sometimes these changes can pass on to the next generation. Epigenetics describes changes that don’t alter the DNA sequence but are stable and can be inherited. This is a newly emerging field and the concept of population epigenetics, which expands research to include the epigenetics of large groups, is even more cutting edge. The authors of this paper synthesize the latest epigenetics studies to describe the epigenetic variation of wild populations. Understanding these interactions provides one more tool for insect breeders to control the health and productivity of their stock.","1"
"The authors of this paper are primarily concerned with killing flies but, in identifying genes response for defense against fungal pesticides, they are also identifying high fitness traits for breeders interested in protecting them. Pathogenic fungi work by burrowing holes in insect chitin and releasing toxins. They can be highly effective as biopesticides, but some mosquitos are resistant to infection. The authors identify several regions of interest, one containing three genes, APL1A, APL1C, and LRIM1, that may be responsible for resistance in these strains. Any of these could be targets for improvement in the black soldier fly.","1"
"The study on Snodgrassella alvi's impact on honeybee immune gene expression highlights the complex relationship between gut symbionts and host immunity. This could be relevant to insect growers aiming to comprehend how beneficial gut symbionts interact with the host immune system in bees.","1"
"Faecal matter is a growing concern globally, and this study determined it can be bioconverted with BSF when it is among a co-treatment with kitchen waste at a 1:1 ratio. This can be implemented in many third world countries with ease, as kitchen waste is also a plentiful resource.","1"
"The investigation into the impact of honeybee foraging on the microbial communities of Salix phylicifolia highlights the intricate relationships between pollinators, plants, and microbial communities in natural environments. This research might be relevant for insect growers interested in understanding how pollinator activities affect microbial diversity in plants.","1"
"Understanding Insect Immune systems and the genes controlling them could be important when dealing with disease outbreak in farms or creating more resilient strains.","1"
"This diet started as a rearing substrate for house flies and stabel flies, and is now widely used as a rearing substrate for the black soldier fly. More research needs to go into how the micronutrients affect growth of these species.","1"
"BSFL can be helpful in decreasing human pathogens in waste treatment.","1"
"This study highlights the importance of understanding the role of microbiomes in reproductive traits of insects, which can have implications for speciation and population adaptation. It also emphasizes the potential for sexually transmitted microbes to invade and affect genital microbiomes, potentially impacting immunity and reproductive success. Insect growers could benefit from studying the genital microbiomes of their insect species to better understand the role of bacteria in reproductive traits and to identify potential reproductive barriers or adaptations.","1"
"This article is relevant to the insect industry as it highlights the challenge of managing pest insects and the potential role of microorganisms in detoxifying symbioses. Understanding these interactions could lead to the development of novel pest management strategies, such as using beneficial microorganisms to protect crops from pests. This could have significant economic and environmental benefits for the insect industry and agriculture as a whole.","1"
"This review paper covers different insect meals and how they compare in protein content, amino acid profiles, fatty acid profiles and more. This also provides a break down of each A.A. and fatty acid within the insects.","1"
"This study showed the importance of looking at not only just insect protein, but microbial or fungal additives as well when looking at fishmeal replacements. This showed that the addition of brewers yeast improved overall immune responses and health of fish.","1"
"This study showed that the use of mealworm protein can sucessfully be used in the diets of Atlantic salmon, without negatively impacting their overall health. More research needs to be done to determine the impact of the gut microbiota change.","1"
"When developing reproductive genetic studies on related specie (ie T. mollitor) it will be imperatives to have candidate genes to be paying attention to. These sox genes are a good place to start.","1"
"Domestication is often associated with a weakened response to stressors like bacterial challenges. This problem is compounded by high rearing densities, which facilitates the spread of pathogens. Disease outbreaks can be extremely costly, both in terms of insect loss and potential dangers to human health. The authors of this paper discuss breeding strategies and gene editing systems to improve resistance to known silkworm pathogens. The pathogens associated with silkworm production are well established, given that sericulture is older than the founding of Rome. These strategies can be translated to other new commercial insects like the black soldier fly, which are less well described. At the time of writing, CEIF research is already underway to characterize the BSF microbiome and potential pathogenic hazards therein. With this knowledge, we can be proactive in safeguarding insect strains against future outbreaks.","1"
"More research needs to be done to look at optimal levels for bird health and economic efficiency when using live larvae.","1"
"Genetic modification has the potential to transform the way insects are reared. In traditional breeding, individuals that show the strongest version of a desired trait are selected for the next generation. Selection pressure does not create new mutations, it works on variants that already exist in a population. This variation is limited in many domesticated species, because of inbreeding and population bottlenecks. Though there are comparatively large starting costs, through discovery research and implementation, you can introduce genes directly from high performing strains outside the commercial line. Or other species, or genes not found in any species. For example, black soldier fly antimicrobial peptide (kills bacteria) genes were inserted into silkworms to improve their survival in a bacterial challenge. This paper describes a genetic modification system tailored to the black soldier fly, which will be useful for anyone looking for modern approaches to stock improvement.","1"
"The findings of this study have significant implications for the insect rearing industry. Insect rearing is a rapidly growing industry that has numerous applications, such as food and feed production, waste management, and research. The microbial community of insects can play a crucial role in their physiology, immunity, and overall health. Understanding the factors that shape the microbial community of insects, such as host species variation, can help improve the efficiency and quality of insect rearing. This study's findings suggest that the microbial community of insects is highly dependent on the host species, rather than their evolutionary history, and that different host species can have varying levels of control over their microbial community composition. Therefore, it is important for the insect rearing industry to consider the host species when selecting and managing their microbial community. Furthermore, the study found that some microbial taxa that are beneficial for one host species can be deleterious for another, highlighting the importance of maintaining specific microbial communities for each host species. Overall, this study provides valuable insights into the complex relationship between host species and their microbial community and can aid in developing strategies to optimize insect rearing practices.","1"
"I anticipate a plethora of RNA seq studies on insects of interest to this industry in the coming years. This review provides a rationale for considering more that just protein coding RNA's in this studies (ie miRNA).","1"
"Mitochondria are organelles in a cell that produce energy-containing molecules and have their own set of DNA separate from the “main” nuclear genome. They are self-replicating and only pass on from the mother, which has implications for how they evolve in populations. Evidence suggests that the integrity of mitochondrial DNA is generally preserved through purifying selection, which is to say that the genes stored in the mitochondria are important enough that they aren’t easily changed or lost. This paper shows that the opposite may be true for domesticated or domesticating species, which describes all of the organisms in insect agriculture. It explores how domestication impacts the integrity of mitochondrial DNA – potentially affecting traits like metabolism rates, reproductive capabilities, and resilience to environmental changes – all of which are key to success in mass rearing.","1"
"The review highlights the potential applications of MRM in the field of insect agriculture. The manipulation of the insect microbiota can be used to control insect pests, protect beneficial insects, and control the transmission of pathogens to humans, animals, and plants. The use of MRM in insect agriculture has the potential to improve the sustainability and productivity of agricultural systems by reducing the use of harmful pesticides and promoting the natural defense mechanisms of insects. The review also emphasizes the need for further studies to verify, improve, and apply MRM by using the insect-symbiont ecosystem as a model.","1"
"May want to investigate the roll of insect diets in fish raised for fillet meats. May want to look at using insects as a way to reduce loads of pathogenic bacteria in aquaculture.","1"
"The study investigates the role of gut microbiomes in reproductive isolation (RI) in Drosophila melanogaster. Previous research suggested that dietary-induced changes in gut bacteria could lead to assortative mating. However, the study challenges this notion by replicating tests for RI associated with diet-specific gut microbiomes. Despite differences in gut microbiomes, the results found no evidence for diet-associated RI or a role of gut bacteria, suggesting that the evolutionary importance of gut microbiomes in host divergence needs careful consideration on a case-by-case basis.","1"
"The first assembled human genome cost about 3 billion dollars (in the 90s) and 13 years of organized effort. Today, even relatively small companies and labs can support previously cost prohibitive projects like genome assembly. Nor are we limited to whole genome data. Gene expression, proteomics (all the protein), and epigenetic (not DNA, but still stable and heritable) analyses are available to more fully capture what separates one species or individual from another. Knowing where to start, which assays to choose, and how to set up an experiment that will deliver results is most of the battle. This is especially true with eukaryote (plant, animal, fungi) pangenomics, which combines multiple genomes together to more completely capture the diversity of a species. This paper reviews recent pangenomic studies and demonstrates how many more valuable genes can be captured if we cast a wider net.","1"
"The mealworm (Tenebrio molitor) is one of the “big three” insect species considered for mass rearing. In addition to its use as feed, research is exploring how mealworms might be used to recycle plastics. The Mealworm market is expected to reach 1.27 billion by 2030, so it may be surprising that, at the time of writing, there are no high quality genomes made publicly available. A solid understanding of an organisms genetics is needed to support breeding programs and genetic modification.","1"
"Heat treatments should be implemented when using market wastes, especially when meat and fish waste are included. Both can be suitably dealt with at 60C for about 10 minutes, however more research needs to be done to reduce S. aureus in the meat treatments.","1"
"May want to investigate the ability of a similar insect refinery on other food industry waste such as pre-consumer food waste, post-consumer food waste, manure, and human feces.","1"
"The spread of Varroa destructor mite and its associated pathogen, Deformed wing virus, has had a significant impact on honey bee populations globally, leading to large-scale colony losses. This study provides insight into the indirect effects of Varroa on the viral landscapes of other insect taxa, including bees, wasps, flies, and ants, suggesting that these taxa may not experience the same increase in viral load as honey bees. This knowledge can help inform strategies for the management and control of Varroa and DWV in the wider insect community, and ultimately benefit the insect industry.","1"
"May want to see if modulating the gut microbiome with probiotic can alter these results.","1"
"4% defatted BSF larvae were determined optimal for these chickens, however other insect species could be looked at to determine effects on blood plasma.","1"
"Black soldier fly genetics research benefits from a close evolutionary relationship with Drosophila melanogaster, the fruit fly model organism, in which decades of functional genetics work has been invested. In addition, recent bioinformatic work has produced a chromosome-level BSF reference assembly. Crickets and mealworms, meanwhile, are limited to scaffolds (un-organized chunks of genome) at the time of writing. Crickets have a long tradition of human and pet consumption. The global cricket market is worth a little more than half a billion USD in 2022 and is expected to reach over 3 billion by 2030. For this reason, it is critical that we promote fundamental genetics research in crickets (and other commercial insects). The authors of this paper review the state of the art in cricket genomics and gene editing. They offer a few places to start exploring genotype-phenotype relationships.","1"
"White nettle can be an option as a feed additive for cricket farms, however not suitable as a feed on its own during the early larval stages of the crickets. More research can go into looking at different inclusions of these flowers.","1"
"Mealworm has a food ingredient for broilers was accomplished and showed positive effects on starter BW, ADG and partial improvement of FCR. Dried larvae were more successful than fresh mealworm.","1"
"May want to investigate the variance between individual larvae in a diet pan population among IAB species. Could be a useful diagnostic tool to tailor nutritional substrate as the reared insects =evolve over time.","1"
"While BSF chitin does seem to be able to control nematodes, the use of this within soils needs to be tested on how it impacts crops, soil nutrient levels, and any microbes present","1"
"As this industry continues to grow, a deep foundational understanding of insect physiology will be indespensible, incuding the fundimental toxicollogy of invertabrates.","1"
"Review paper on the use of bsf in the food and feed industry, specifically focusing on swine and poultry. More research needed in ruminant animals.","1"
"Different pretreatment methods to improve substrate digestibility and biodegradability are evaulated and can be applied across different substrates.","1"
"More studies need to go into specific inclusion rates based on the insects nutritional value","1"
"Suggests BSF meals could be most suitable within a nursery diet for pigs due to high lauric acid which has antimicrobial and anti-inflammatory properties as well as chitin which acts as a prebiotic and can increase gut microbiotia richness.","1"
"May want to consider investing in psychology and sociology studies or targeted marketing campaign to overcome some of hurtles. Public support may drive legislation.","1"
"High rearing density and temperaures may increase BSFL immune responses.","1"
"Like the peach moth, Black Soldier Flies have a light dependent mating regime which can hinder mass rearing operations. Working to understand the genetic underpinnings of this, whether it results in overexpression of odorant binding proteins, or other molecules related to libido, oogenesis or spermatogenesis would be greatly beneficial genetic selection/modification of industrial strains moving forward.","1"
"Understanding the microbial communities in the digestive systems of insects is crucial for maintaining their health and productivity. This study sheds light on the dynamics of bacteriophage communities in the bee gut and their role in the bee microbiome. The findings could have implications for the management of honey bee colonies and the health of these economically important insect species.","1"
"The composition of your waste diet can significantly alter the larval composition as a product in the end, along with larval biomass and bioconversion rates.","1"
"Insects like the black soldier fly (BSF) have a symbiotic relationship with bacteria. Due to selective pressures like medicine and agriculture, though, some bacteria have developed antibiotic resistance (AR) genes. These AR genes can be directly shared with other bacteria, a process called vertical transmission. If BSF feed on waste containing AR genes, it is possible that larva and frass will contain them too.","1"
"Genetic adaptability within the fish to adapt to new food sources is something we can take advantage of as researchers, where we can introduce insect based diets and over time these can be more accepted and digested by fish.","1"
"The relevance of this paper to insect growers is that it provides evidence for the potential use of Hermetia illucens larvae meal as a prebiotic feed additive for rainbow trout. Insect growers may be interested in exploring the use of their insect products as a sustainable and environmentally friendly source of feed for aquaculture animals. The findings of this study suggest that insect meal from H. illucens larvae could positively affect the gut microbiota of rainbow trout and potentially improve their health and growth performance. This may be of interest to insect growers who are looking to expand their market to include the aquaculture industry.","1"
"A major component of population and functional genetics is comparing DNA sequence data with phenotypic (observable traits) data. For example, one line of insects might produce larger larvae than the rest. Identifying the genetics responsible allows for reproducibility and fine-tuning of this trait. One could insert or breed the large larvae genes into other populations, using markers identified by this research to guide the process. One might find that the large larvae gene comes with unacceptable tradeoffs, and research might uncover a downstream gene more specific to the phenotype and with less side effects. Manual collection of detailed, standardized phenotypes for a given sample continues to be important for the statistical analyses that identify candidate genes. Unfortunately, these experiments require trained labor and have the associated throughput limitations. This paper proposes a network based genomic selection program to find high-fitness genes, which is to say that the approach filters lots of sequencing information into statistical analyses to find which combination of genes lead to useful traits.","1"
"Increasing larval density will decrease development time but decrease adult survival, so depending on if larvae or adults are the aim for production, this can be adjusted. ","1"
"More research needs to be done to look at how to keep up the food utilization of the fish when being fed BSF protein, as it was lower compared to using soybean.","1"
"As global temperatures increase, mass-reared insects must be insured a nutritionally rich diet to match physiological changes surrounding their metabolism.","1"
"Addition of seaweed up to a 50% inclusion was beneficial, and showed the plasticity of BSF larvae to accumulate lipid and water soluble compounds. Gaining a full understanding to how BSF larvae accumulate specific nutrients can be extremely beneficial to create very specific larvae as feed ingredients for various livestock.","1"
"Though it presents some ethical concerns, flightless black soldier flies have been explored for better containment during mass rearing. In addition to better production efficiency, flightlessness reduces the chance that domesticated BSF will escape and hybridize with local populations. This important because one regulatory barrier to the introduction of domesticated and genetically modified BSF in a region is concerns about foreign DNA mixing. Silkworms, a major commercial insect in the moth family, developed the flightless trait through millennia of selection. This paper describes how the fruit moth, a distant relative to the silkworm, responds to selection on flying ability.","1"
"This research could inform the further research into the role that these DMRT A2 and Hsp83 genes play in the gonad development of various insect species relevant to insects as food and feed.","1"
"Though this research was primarily conducted with the intent of generating novel pest control techniques, researching these male accessory gland (MAG) compounds in BSF could be beneficial to mini-livestock production. Not only could we gain a better understanding of BSF reproduction, but it is possible that we could identify molecules found within BSF MAG that induce beneficial phenotypic changes in females with respect to oviposition, egg development, etc. This information could potentially go towards developing novel dietary supplement to increase reproductively in a domesticated setting.","1"
"May want to investigate the use of insect probiotics as a way to offer protection for insects against viral pathogens. May want to investigate vaccines for insects against some of these viral pathogens.","1"
"This study found that feeding the laying hens BSF meal could enhance the enterocyte metabolism and gut homeostasis in laying hens, which can improve their health parameters. Specific blends could be created for different types of poultry to enahance their health","1"
"To reduce negative environmental impacts with the use of insect rearing, we need to be paying attention to the insect diets themselves, as well as how substrates or frass are being composted. Water use in insect diets are a major concern, as that is where the majority of water use is consumed during the process.","1"
"Insights into how bacterial interactions shape the microbiome variability in isogenic organisms could aid insect producers in understanding and potentially manipulating the microbiome assembly in insects. This understanding may contribute to developing probiotics or other interventions for insect rearing and health management.","1"
"May be able to develop some biological markers of insect health from the frass of IAB insects.","1"
"Higher carbohydrate nutrition may enable higher thermal tolerance, which can be adjusted for in high-temperature mass-rearing environments.","1"
"Finding rearing temperatures for a variety of insects can help optimize preferred reared insects and decrease pests in the facilities. ","1"
"Transposable elements (TE) are small pieces of DNA that move around in a genome. They have long been associated with genetic disorders and disease, as they can break genes if they are inserted in the middle of one (among other problems). The authors of this paper explain, though, there is increasing evidence for the benefits of TEs in adaptive evolution. Little information is available on the potential role of TEs in domestication. This paper makes a case for the role of TEs in several important commercial traits. For example, increased developmental uniformity in silkworms or adaptation to different light cycles in corn. The silkworm (Bombyx mori) is arguably the only completely domesticated insect, so it is a good model to look at when making inferences about the future of other insects still in the process of domestication, like mealworm, cricket, and black soldier fly.","1"
"Beekeepers and producers involved in bee health and pollination services should be interested in this research on phage communities in honey bee gut microbiomes. The study reveals the complexity of phage communities, their diversity, and their potential impact on microbial dynamics within bees. Beekeepers may consider the implications of phage-host interactions for bee health and explore the possibility of using engineered phages for microbiome engineering, potentially contributing to improved bee health and pollination services.","1"
"Fatty acids are involved in growth, development and immune defense. Ongoing research is exploring the value of lauric acid supplementation in boiler chicken health, for example. While diet is a major factor in insect fat content, though, the production and storage of fat is also governed by genetic factors. Supplementation needs to be added in every batch, may involve costly or difficult to obtain materials, and creates one more variable to manage in the substrate. Though genetic modification can involve significant starting costs, from discovery research to implementation, the benefit of increased fatty acid synthesis is passed on many generations later. The risk/reward of either approach varies with each use case. If GMO is warranted, though, manipulation of Acyl carrier protein (ACP) is a promising route. The authors of this paper show how ACP, involved in fatty acid synthesis, affects key biological proccesses like size, survival, and egg laying.","1"
"The use of antibiotics has applied a selection force on aquatic bacteria where those that, by random chance, have genes giving resistance survive and reproduce. Bacteria can also directly transfer antibiotic resistance (AR) genes through a process called vertical transmission. This means that a bacterial line doesn’t need to have experienced penicillin, they just need to meet a bacterium that has. Coupled with a short life span and generation time sometimes measured in minutes, it is easy to see why antibiotic resistance is such a large problem. Insects are known sources of potentially pathogenic microbes. Those microbes may be sources of AR genes too. The goal for Black Soldier flies is a closed loop system where organic material is recycled. It is especially important that scientists can track which, if any, contaminants like AR genes can circulate.","1"
"Understanding how insect-associated bacteria influence vector competence for arboviruses is crucial for insect producers dealing with arbovirus-transmitting insects. Insights into the microbial mechanisms that reduce vector competence could potentially inform strategies to reduce disease transmission or modify insect microbiomes to limit arbovirus transmission.","1"
"This study showed that the nutritional composition and conversion are closely related to the source and composition of substrates, meaning we need to optimize the input of the feeding substrates to optimize larval composition.","1"
"Plants are adapting some defense mechanisms in rising temperatures, which has affected their nutritional composition and how insects feed on them, so those rearing insects on plants must be ready to adjust to these changes.","1"
"Epigenetics studies heritable (passed on to children) changes in gene expression without DNA sequence changes. DNA is wrapped in proteins so that it stays organized in cells, which can be tighter or looser to affect how much of a gene is expressed. Chemical groups can also be added to DNA directly to affect gene expression. This means, if one only looks at DNA sequences, they are likely to miss important information about the mechanism behind important traits. For example, in large studies across the animal kingdom, it was often found that domestication forces (which commercial insects experience) lead to stronger changes in gene expression than DNA. This paper reviews how epigenetic changes can lead to insecticide and climate change resistance, the latter of which is most useful for high-density insects that are prone to overheating.","1"
"Stable Isotope Analysis could be used, in addition to DNA analysis, to gain insight on the diet wild black black soldier fly populations as well as being used as an environmental surveillance tool.","1"
"As we still have a lot to learn about the extraorinary and nuanced behavioral and molecular immunilogical mechanisms of insects, we can turn to what we know about other organism in the anamal kingdom. Learning more about these processes in other animals could help us to create novel desease preventing techneqes in insect rearing facilities. ","1"
"Epigenetics studies heritable (passed on to children) changes in gene expression without DNA sequence changes. DNA is wrapped in proteins so that it stays organized in cells, which can be tighter or looser to affect how much of a gene is expressed. Chemical groups can also be added to DNA directly to affect gene expression. This means, if one only looks at DNA sequences, they are likely to miss important information about the mechanism behind important traits. For example, in large studies across the animal kingdom, it was often found that domestication forces (which commercial insects experience) lead to stronger changes in gene expression than DNA. The authors investigate how the silkworm responds to heat and humidity stress with epigenetic changes. This paper is relevant to IAB interests because heat stress in high-density rearing is a common problem in commercial rearing. Epigenetics may be one more tool we can use to deal with it.","1"
"Any mealworm farmer knows the risks of pathogen spreading while rearing at high densities. tyhis is a great reading to broadly familiarize yourself with mealworm imune physiology. ","1"
"MicroRNAs (miRNAs) are small pieces of RNA that don’t code for a protein. Instead, they influence the availability of protein coding RNAs, which adds another layer of regulation to protein production. Often, breeding for a particular trait will influence how much a protein is produced more than changes to amino acid sequence. To understand the full impacts of selection, it is important to track changes in non-coding RNAs in research. Also, because many key genes are highly networked, direct modifications could impose significant fitness costs, which shows the importance of more subtle miRNA-based trait manipulation. This paper describes development related miRNAs in the red flour beetle, which is in the same family as mealworms and superworms. The insights provided here lay the groundwork for future breeding or GMO experiments targeting optimal growth rates.","1"
"The study sheds light on the importance of microbiota on the growth and health of BSF larvae, which are used as biowaste recyclers and a source of animal proteins in the insect rearing industry. The results open up opportunities for the optimization of zootechnical properties in alternative animal protein production, biowaste revalorization, and recycling, highlighting the need to consider microbiota management strategies in insect rearing practices.","1"
